TANGGAL;KOMODITI;SATUAN;HARGA;;;;;;
14/11/2018;Daging Sapi Impor Beku;Kg;89150;;;;;;
14/11/2018;Ayam Kampung;ekor;81675;;;;;;
14/11/2018;Daging Sapi Lokal Daging Tetelan;Kg;73333;;;;;;
14/11/2018;Susu Bubuk Kaleng Merk Bendera;buah;44750;;;;;;
14/11/2018;Susu Bubuk Kaleng Merk Indomilk;buah;43300;;;;;;
14/11/2018;Cabai Rawit Merah;Kg;40160;;;;;;
14/11/2018;Ikan Kembung;Kg;37860;;;;;;
14/11/2018;Cabai Merah Besar;Kg;37160;;;;;;
14/11/2018;Cabai Merah Kriting;Kg;36160;;;;;;
14/11/2018;Ayam Boiler;ekor;36000;;;;;;
14/11/2018;Cabai Rawit Hijau;Kg;32040;;;;;;
14/11/2018;Bawang Putih Impor (Kating);Kg;28940;;;;;;
14/11/2018;Bawang Merah (Medium);Kg;28340;;;;;;
14/11/2018;Bawang Putih Impor (Honan);Kg;26500;;;;;;
14/11/2018;Kacang Tanah;Kg;25000;;;;;;
14/11/2018;Telur Ayam Ras;Kg;23300;;;;;;
14/11/2018;Kacang Hijau;Kg;22600;;;;;;
14/11/2018;Jagung Pipilan Kecil;Kg;15433;;;;;;
14/11/2018;Minyak Goreng Bimoli Botol;Liter;13460;;;;;;
14/11/2018;Gula Pasir;Kg;12890;;;;;;
14/11/2018;Beras Premium;Kg;12575;;;;;;
14/11/2018;Kacang Kedelai Eks Impor;Kg;12550;;;;;;
14/11/2018;Kacang Kedelai Lokal;Kg;12000;;;;;;
14/11/2018;Minyak Goreng Curah;Liter;11800;;;;;;
14/11/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11460;;;;;;
14/11/2018;Garam Beryodium Halus;Kg;10700;;;;;;
14/11/2018;Beras Medium;Kg;10490;;;;;;
14/11/2018;Tepung Terigu Segitiga Biru;Kg;10100;;;;;;
14/11/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;9680;;;;;;
14/11/2018;Ketela Pohon;Kg;5260;;;;;;
14/11/2018;Garam Beryodium Bata;250 gr;3500;;;;;;
14/11/2018;Indomie Rasa Kari Ayam;buah;2440;;;;;;
14/11/2018;Telur Ayam Kampung;butir;2260;;;;;;
15/11/2018;Daging Sapi Lokal Has Dalam;Kg;145000;;;;;;
15/11/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;126667;;;;;;
15/11/2018;Ikan Teri Asin;Kg;122340;;;;;;
15/11/2018;Daging Sapi Lokal Paha Belakang;Kg;117160;;;;;;
15/11/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;101667;;;;;;
15/11/2018;Daging Sapi Impor Beku;Kg;89150;;;;;;
15/11/2018;Ayam Kampung;ekor;82075;;;;;;
15/11/2018;Daging Sapi Lokal Daging Tetelan;Kg;68333;;;;;;
15/11/2018;Susu Bubuk Kaleng Merk Bendera;buah;44575;;;;;;
15/11/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42800;;;;;;
15/11/2018;Ikan Kembung;Kg;38940;;;;;;
15/11/2018;Cabai Rawit Merah;Kg;37860;;;;;;
15/11/2018;Cabai Merah Kriting;Kg;37260;;;;;;
15/11/2018;Ayam Boiler;ekor;36660;;;;;;
15/11/2018;Cabai Merah Besar;Kg;36160;;;;;;
15/11/2018;Cabai Rawit Hijau;Kg;33200;;;;;;
15/11/2018;Bawang Putih Impor (Kating);Kg;29460;;;;;;
15/11/2018;Bawang Merah (Medium);Kg;28060;;;;;;
15/11/2018;Bawang Putih Impor (Honan);Kg;26500;;;;;;
15/11/2018;Kacang Tanah;Kg;25740;;;;;;
15/11/2018;Kacang Hijau;Kg;23600;;;;;;
15/11/2018;Telur Ayam Ras;Kg;22140;;;;;;
15/11/2018;Jagung Pipilan Kecil;Kg;16233;;;;;;
15/11/2018;Minyak Goreng Bimoli Botol;Liter;13740;;;;;;
15/11/2018;Beras Premium;Kg;12825;;;;;;
15/11/2018;Gula Pasir;Kg;12810;;;;;;
15/11/2018;Kacang Kedelai Eks Impor;Kg;12750;;;;;;
15/11/2018;Kacang Kedelai Lokal;Kg;12000;;;;;;
15/11/2018;Minyak Goreng Curah;Liter;11960;;;;;;
15/11/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11660;;;;;;
15/11/2018;Garam Beryodium Halus;Kg;10800;;;;;;
15/11/2018;Beras Medium;Kg;10690;;;;;;
15/11/2018;Tepung Terigu Segitiga Biru;Kg;10540;;;;;;
15/11/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10000;;;;;;
15/11/2018;Ketela Pohon;Kg;5200;;;;;;
15/11/2018;Garam Beryodium Bata;250 gr;3780;;;;;;
15/11/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
15/11/2018;Telur Ayam Kampung;butir;2300;;;;;;
16/11/2018;Daging Sapi Lokal Has Dalam;Kg;143333;;;;;;
16/11/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;126667;;;;;;
16/11/2018;Daging Sapi Lokal Paha Belakang;Kg;118660;;;;;;
16/11/2018;Ikan Teri Asin;Kg;118040;;;;;;
16/11/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;93333;;;;;;
16/11/2018;Daging Sapi Impor Beku;Kg;89150;;;;;;
16/11/2018;Ayam Kampung;ekor;82075;;;;;;
16/11/2018;Daging Sapi Lokal Daging Tetelan;Kg;64167;;;;;;
16/11/2018;Susu Bubuk Kaleng Merk Bendera;buah;44575;;;;;;
16/11/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42800;;;;;;
16/11/2018;Ikan Kembung;Kg;37740;;;;;;
16/11/2018;Cabai Merah Besar;Kg;37160;;;;;;
16/11/2018;Ayam Boiler;ekor;36860;;;;;;
16/11/2018;Cabai Rawit Merah;Kg;35860;;;;;;
16/11/2018;Cabai Merah Kriting;Kg;35760;;;;;;
16/11/2018;Cabai Rawit Hijau;Kg;32400;;;;;;
16/11/2018;Bawang Putih Impor (Kating);Kg;28160;;;;;;
16/11/2018;Bawang Merah (Medium);Kg;27060;;;;;;
16/11/2018;Kacang Tanah;Kg;24740;;;;;;
16/11/2018;Bawang Putih Impor (Honan);Kg;24000;;;;;;
16/11/2018;Telur Ayam Ras;Kg;22640;;;;;;
16/11/2018;Kacang Hijau;Kg;22400;;;;;;
16/11/2018;Jagung Pipilan Kecil;Kg;16233;;;;;;
16/11/2018;Minyak Goreng Bimoli Botol;Liter;13540;;;;;;
16/11/2018;Beras Premium;Kg;12825;;;;;;
16/11/2018;Gula Pasir;Kg;12560;;;;;;
16/11/2018;Kacang Kedelai Lokal;Kg;12000;;;;;;
16/11/2018;Kacang Kedelai Eks Impor;Kg;11750;;;;;;
16/11/2018;Minyak Goreng Curah;Liter;11560;;;;;;
16/11/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11560;;;;;;
16/11/2018;Beras Medium;Kg;10640;;;;;;
16/11/2018;Garam Beryodium Halus;Kg;10500;;;;;;
16/11/2018;Tepung Terigu Segitiga Biru;Kg;10340;;;;;;
16/11/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10000;;;;;;
16/11/2018;Ketela Pohon;Kg;5200;;;;;;
16/11/2018;Garam Beryodium Bata;250 gr;3680;;;;;;
16/11/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
16/11/2018;Telur Ayam Kampung;butir;2300;;;;;;
19/11/2018;Daging Sapi Lokal Has Dalam;Kg;145000;;;;;;
19/11/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;126667;;;;;;
19/11/2018;Ikan Teri Asin;Kg;119340;;;;;;
19/11/2018;Daging Sapi Lokal Paha Belakang;Kg;118160;;;;;;
19/11/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;93333;;;;;;
19/11/2018;Daging Sapi Impor Beku;Kg;89150;;;;;;
19/11/2018;Ayam Kampung;ekor;81450;;;;;;
19/11/2018;Daging Sapi Lokal Daging Tetelan;Kg;61667;;;;;;
19/11/2018;Susu Bubuk Kaleng Merk Bendera;buah;44575;;;;;;
19/11/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42800;;;;;;
19/11/2018;Ikan Kembung;Kg;37940;;;;;;
19/11/2018;Ayam Boiler;ekor;36860;;;;;;
19/11/2018;Cabai Rawit Merah;Kg;36860;;;;;;
19/11/2018;Cabai Merah Kriting;Kg;36760;;;;;;
19/11/2018;Cabai Merah Besar;Kg;35660;;;;;;
19/11/2018;Cabai Rawit Hijau;Kg;34000;;;;;;
19/11/2018;Bawang Putih Impor (Kating);Kg;28660;;;;;;
19/11/2018;Bawang Merah (Medium);Kg;27360;;;;;;
19/11/2018;Kacang Tanah;Kg;24940;;;;;;
19/11/2018;Bawang Putih Impor (Honan);Kg;24000;;;;;;
19/11/2018;Kacang Hijau;Kg;22800;;;;;;
19/11/2018;Telur Ayam Ras;Kg;22740;;;;;;
19/11/2018;Jagung Pipilan Kecil;Kg;16233;;;;;;
19/11/2018;Minyak Goreng Bimoli Botol;Liter;13640;;;;;;
19/11/2018;Beras Premium;Kg;12825;;;;;;
19/11/2018;Gula Pasir;Kg;12660;;;;;;
19/11/2018;Kacang Kedelai Eks Impor;Kg;12125;;;;;;
19/11/2018;Kacang Kedelai Lokal;Kg;12000;;;;;;
19/11/2018;Minyak Goreng Curah;Liter;11960;;;;;;
19/11/2018;Garam Beryodium Halus;Kg;11800;;;;;;
19/11/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11660;;;;;;
19/11/2018;Beras Medium;Kg;10640;;;;;;
19/11/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10500;;;;;;
19/11/2018;Tepung Terigu Segitiga Biru;Kg;10340;;;;;;
19/11/2018;Ketela Pohon;Kg;5200;;;;;;
19/11/2018;Garam Beryodium Bata;250 gr;3680;;;;;;
19/11/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
19/11/2018;Telur Ayam Kampung;butir;2300;;;;;;
21/11/2018;Daging Sapi Lokal Has Dalam;Kg;143333;;;;;;
21/11/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;126667;;;;;;
21/11/2018;Ikan Teri Asin;Kg;121340;;;;;;
21/11/2018;Daging Sapi Lokal Paha Belakang;Kg;118660;;;;;;
21/11/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;100000;;;;;;
21/11/2018;Daging Sapi Impor Beku;Kg;89150;;;;;;
21/11/2018;Ayam Kampung;ekor;81450;;;;;;
21/11/2018;Daging Sapi Lokal Daging Tetelan;Kg;67500;;;;;;
21/11/2018;Susu Bubuk Kaleng Merk Bendera;buah;44575;;;;;;
21/11/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42800;;;;;;
21/11/2018;Ikan Kembung;Kg;38940;;;;;;
21/11/2018;Ayam Boiler;ekor;37060;;;;;;
21/11/2018;Cabai Merah Besar;Kg;35860;;;;;;
21/11/2018;Cabai Merah Kriting;Kg;35760;;;;;;
21/11/2018;Cabai Rawit Merah;Kg;34460;;;;;;
21/11/2018;Cabai Rawit Hijau;Kg;31600;;;;;;
21/11/2018;Bawang Putih Impor (Kating);Kg;29260;;;;;;
21/11/2018;Bawang Merah (Medium);Kg;28760;;;;;;
21/11/2018;Bawang Putih Impor (Honan);Kg;26500;;;;;;
21/11/2018;Kacang Tanah;Kg;25240;;;;;;
21/11/2018;Kacang Hijau;Kg;23200;;;;;;
21/11/2018;Telur Ayam Ras;Kg;23140;;;;;;
21/11/2018;Jagung Pipilan Kecil;Kg;16233;;;;;;
21/11/2018;Minyak Goreng Bimoli Botol;Liter;13740;;;;;;
21/11/2018;Beras Premium;Kg;12825;;;;;;
21/11/2018;Gula Pasir;Kg;12610;;;;;;
21/11/2018;Kacang Kedelai Eks Impor;Kg;12125;;;;;;
21/11/2018;Minyak Goreng Curah;Liter;12060;;;;;;
21/11/2018;Kacang Kedelai Lokal;Kg;12000;;;;;;
21/11/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11560;;;;;;
21/11/2018;Beras Medium;Kg;10640;;;;;;
21/11/2018;Tepung Terigu Segitiga Biru;Kg;10440;;;;;;
21/11/2018;Garam Beryodium Halus;Kg;10400;;;;;;
21/11/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10100;;;;;;
21/11/2018;Ketela Pohon;Kg;5200;;;;;;
21/11/2018;Garam Beryodium Bata;250 gr;3780;;;;;;
21/11/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
21/11/2018;Telur Ayam Kampung;butir;2150;;;;;;
22/11/2018;Daging Sapi Lokal Has Dalam;Kg;143333;;;;;;
22/11/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;126667;;;;;;
22/11/2018;Ikan Teri Asin;Kg;122660;;;;;;
22/11/2018;Daging Sapi Lokal Paha Belakang;Kg;118500;;;;;;
22/11/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;100000;;;;;;
22/11/2018;Daging Sapi Impor Beku;Kg;90000;;;;;;
22/11/2018;Ayam Kampung;ekor;81450;;;;;;
22/11/2018;Daging Sapi Lokal Daging Tetelan;Kg;68333;;;;;;
22/11/2018;Susu Bubuk Kaleng Merk Bendera;buah;44500;;;;;;
22/11/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42800;;;;;;
22/11/2018;Ikan Kembung;Kg;37660;;;;;;
22/11/2018;Cabai Merah Besar;Kg;36160;;;;;;
22/11/2018;Ayam Boiler;ekor;35860;;;;;;
22/11/2018;Cabai Merah Kriting;Kg;35760;;;;;;
22/11/2018;Cabai Rawit Merah;Kg;35360;;;;;;
22/11/2018;Cabai Rawit Hijau;Kg;32700;;;;;;
22/11/2018;Bawang Putih Impor (Kating);Kg;29500;;;;;;
22/11/2018;Bawang Merah (Medium);Kg;29460;;;;;;
22/11/2018;Bawang Putih Impor (Honan);Kg;26500;;;;;;
22/11/2018;Kacang Tanah;Kg;25200;;;;;;
22/11/2018;Telur Ayam Ras;Kg;23340;;;;;;
22/11/2018;Kacang Hijau;Kg;22900;;;;;;
22/11/2018;Jagung Pipilan Kecil;Kg;16000;;;;;;
22/11/2018;Minyak Goreng Bimoli Botol;Liter;13640;;;;;;
22/11/2018;Beras Premium;Kg;12763;;;;;;
22/11/2018;Gula Pasir;Kg;12500;;;;;;
22/11/2018;Kacang Kedelai Eks Impor;Kg;12250;;;;;;
22/11/2018;Minyak Goreng Curah;Liter;12110;;;;;;
22/11/2018;Kacang Kedelai Lokal;Kg;12100;;;;;;
22/11/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11560;;;;;;
22/11/2018;Tepung Terigu Segitiga Biru;Kg;10740;;;;;;
22/11/2018;Beras Medium;Kg;10590;;;;;;
22/11/2018;Garam Beryodium Halus;Kg;10400;;;;;;
22/11/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10260;;;;;;
22/11/2018;Ketela Pohon;Kg;5200;;;;;;
22/11/2018;Garam Beryodium Bata;250 gr;3780;;;;;;
22/11/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
22/11/2018;Telur Ayam Kampung;butir;2250;;;;;;
23/11/2018;Daging Sapi Lokal Has Dalam;Kg;143333;;;;;;
23/11/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;126667;;;;;;
23/11/2018;Daging Sapi Lokal Paha Belakang;Kg;119000;;;;;;
23/11/2018;Ikan Teri Asin;Kg;116660;;;;;;
23/11/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;93333;;;;;;
23/11/2018;Daging Sapi Impor Beku;Kg;90000;;;;;;
23/11/2018;Ayam Kampung;ekor;83950;;;;;;
23/11/2018;Daging Sapi Lokal Daging Tetelan;Kg;62500;;;;;;
23/11/2018;Susu Bubuk Kaleng Merk Bendera;buah;44500;;;;;;
23/11/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42800;;;;;;
23/11/2018;Ikan Kembung;Kg;37660;;;;;;
23/11/2018;Cabai Merah Besar;Kg;37160;;;;;;
23/11/2018;Cabai Merah Kriting;Kg;35760;;;;;;
23/11/2018;Ayam Boiler;ekor;35060;;;;;;
23/11/2018;Cabai Rawit Merah;Kg;33860;;;;;;
23/11/2018;Cabai Rawit Hijau;Kg;30200;;;;;;
23/11/2018;Bawang Putih Impor (Kating);Kg;29600;;;;;;
23/11/2018;Bawang Merah (Medium);Kg;29260;;;;;;
23/11/2018;Bawang Putih Impor (Honan);Kg;26500;;;;;;
23/11/2018;Kacang Tanah;Kg;24600;;;;;;
23/11/2018;Telur Ayam Ras;Kg;23340;;;;;;
23/11/2018;Kacang Hijau;Kg;22600;;;;;;
23/11/2018;Jagung Pipilan Kecil;Kg;16000;;;;;;
23/11/2018;Minyak Goreng Bimoli Botol;Liter;13340;;;;;;
23/11/2018;Gula Pasir;Kg;12650;;;;;;
23/11/2018;Beras Premium;Kg;12388;;;;;;
23/11/2018;Kacang Kedelai Eks Impor;Kg;12125;;;;;;
23/11/2018;Kacang Kedelai Lokal;Kg;12100;;;;;;
23/11/2018;Minyak Goreng Curah;Liter;11760;;;;;;
23/11/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11560;;;;;;
23/11/2018;Tepung Terigu Segitiga Biru;Kg;10640;;;;;;
23/11/2018;Beras Medium;Kg;10540;;;;;;
23/11/2018;Garam Beryodium Halus;Kg;10200;;;;;;
23/11/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10160;;;;;;
23/11/2018;Ketela Pohon;Kg;5400;;;;;;
23/11/2018;Garam Beryodium Bata;250 gr;3780;;;;;;
23/11/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
23/11/2018;Telur Ayam Kampung;butir;2200;;;;;;
26/11/2018;Daging Sapi Lokal Has Dalam;Kg;143333;;;;;;
26/11/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;126667;;;;;;
26/11/2018;Daging Sapi Lokal Paha Belakang;Kg;119000;;;;;;
26/11/2018;Ikan Teri Asin;Kg;118660;;;;;;
26/11/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;93333;;;;;;
26/11/2018;Daging Sapi Impor Beku;Kg;90000;;;;;;
26/11/2018;Ayam Kampung;ekor;83950;;;;;;
26/11/2018;Daging Sapi Lokal Daging Tetelan;Kg;63333;;;;;;
26/11/2018;Susu Bubuk Kaleng Merk Bendera;buah;44500;;;;;;
26/11/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42800;;;;;;
26/11/2018;Ikan Kembung;Kg;37660;;;;;;
26/11/2018;Cabai Merah Besar;Kg;36660;;;;;;
26/11/2018;Ayam Boiler;ekor;35660;;;;;;
26/11/2018;Cabai Merah Kriting;Kg;34260;;;;;;
26/11/2018;Cabai Rawit Merah;Kg;33860;;;;;;
26/11/2018;Cabai Rawit Hijau;Kg;30200;;;;;;
26/11/2018;Bawang Putih Impor (Kating);Kg;29600;;;;;;
26/11/2018;Bawang Merah (Medium);Kg;29060;;;;;;
26/11/2018;Bawang Putih Impor (Honan);Kg;26500;;;;;;
26/11/2018;Kacang Tanah;Kg;25000;;;;;;
26/11/2018;Telur Ayam Ras;Kg;23340;;;;;;
26/11/2018;Kacang Hijau;Kg;22700;;;;;;
26/11/2018;Jagung Pipilan Kecil;Kg;16000;;;;;;
26/11/2018;Minyak Goreng Bimoli Botol;Liter;13440;;;;;;
26/11/2018;Gula Pasir;Kg;12650;;;;;;
26/11/2018;Beras Premium;Kg;12513;;;;;;
26/11/2018;Kacang Kedelai Eks Impor;Kg;12250;;;;;;
26/11/2018;Kacang Kedelai Lokal;Kg;12100;;;;;;
26/11/2018;Minyak Goreng Curah;Liter;12010;;;;;;
26/11/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11560;;;;;;
26/11/2018;Tepung Terigu Segitiga Biru;Kg;10740;;;;;;
26/11/2018;Garam Beryodium Halus;Kg;10700;;;;;;
26/11/2018;Beras Medium;Kg;10590;;;;;;
26/11/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10160;;;;;;
26/11/2018;Ketela Pohon;Kg;5400;;;;;;
26/11/2018;Garam Beryodium Bata;250 gr;3780;;;;;;
26/11/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
26/11/2018;Telur Ayam Kampung;butir;2200;;;;;;
27/11/2018;Daging Sapi Lokal Has Dalam;Kg;143333;;;;;;
27/11/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;126667;;;;;;
27/11/2018;Daging Sapi Lokal Paha Belakang;Kg;119000;;;;;;
27/11/2018;Ikan Teri Asin;Kg;118660;;;;;;
27/11/2018;Daging Sapi Impor Beku;Kg;90000;;;;;;
27/11/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;90000;;;;;;
27/11/2018;Ayam Kampung;ekor;83950;;;;;;
27/11/2018;Daging Sapi Lokal Daging Tetelan;Kg;60000;;;;;;
27/11/2018;Susu Bubuk Kaleng Merk Bendera;buah;44500;;;;;;
27/11/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42800;;;;;;
27/11/2018;Ikan Kembung;Kg;37660;;;;;;
27/11/2018;Ayam Boiler;ekor;35660;;;;;;
27/11/2018;Cabai Merah Besar;Kg;34660;;;;;;
27/11/2018;Cabai Rawit Merah;Kg;32860;;;;;;
27/11/2018;Cabai Merah Kriting;Kg;32760;;;;;;
27/11/2018;Cabai Rawit Hijau;Kg;30200;;;;;;
27/11/2018;Bawang Putih Impor (Kating);Kg;29600;;;;;;
27/11/2018;Bawang Merah (Medium);Kg;28660;;;;;;
27/11/2018;Bawang Putih Impor (Honan);Kg;28000;;;;;;
27/11/2018;Kacang Tanah;Kg;24800;;;;;;
27/11/2018;Telur Ayam Ras;Kg;23040;;;;;;
27/11/2018;Kacang Hijau;Kg;22600;;;;;;
27/11/2018;Jagung Pipilan Kecil;Kg;16000;;;;;;
27/11/2018;Minyak Goreng Bimoli Botol;Liter;13340;;;;;;
27/11/2018;Gula Pasir;Kg;12600;;;;;;
27/11/2018;Beras Premium;Kg;12575;;;;;;
27/11/2018;Kacang Kedelai Eks Impor;Kg;12250;;;;;;
27/11/2018;Kacang Kedelai Lokal;Kg;12100;;;;;;
27/11/2018;Minyak Goreng Curah;Liter;11860;;;;;;
27/11/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11560;;;;;;
27/11/2018;Tepung Terigu Segitiga Biru;Kg;10640;;;;;;
27/11/2018;Beras Medium;Kg;10540;;;;;;
27/11/2018;Garam Beryodium Halus;Kg;10400;;;;;;
27/11/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10160;;;;;;
27/11/2018;Ketela Pohon;Kg;5200;;;;;;
27/11/2018;Garam Beryodium Bata;250 gr;3780;;;;;;
27/11/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
27/11/2018;Telur Ayam Kampung;butir;2200;;;;;;
28/11/2018;Daging Sapi Lokal Has Dalam;Kg;150000;;;;;;
28/11/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;133333;;;;;;
28/11/2018;Daging Sapi Lokal Paha Belakang;Kg;121000;;;;;;
28/11/2018;Ikan Teri Asin;Kg;120660;;;;;;
28/11/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;100000;;;;;;
28/11/2018;Daging Sapi Impor Beku;Kg;90000;;;;;;
28/11/2018;Ayam Kampung;ekor;88950;;;;;;
28/11/2018;Daging Sapi Lokal Daging Tetelan;Kg;62500;;;;;;
28/11/2018;Susu Bubuk Kaleng Merk Bendera;buah;44500;;;;;;
28/11/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42800;;;;;;
28/11/2018;Ikan Kembung;Kg;38660;;;;;;
28/11/2018;Cabai Merah Besar;Kg;37660;;;;;;
28/11/2018;Ayam Boiler;ekor;36260;;;;;;
28/11/2018;Cabai Merah Kriting;Kg;35760;;;;;;
28/11/2018;Cabai Rawit Merah;Kg;34860;;;;;;
28/11/2018;Bawang Putih Impor (Kating);Kg;32600;;;;;;
28/11/2018;Cabai Rawit Hijau;Kg;32200;;;;;;
28/11/2018;Bawang Merah (Medium);Kg;30960;;;;;;
28/11/2018;Bawang Putih Impor (Honan);Kg;28000;;;;;;
28/11/2018;Kacang Tanah;Kg;25400;;;;;;
28/11/2018;Telur Ayam Ras;Kg;23240;;;;;;
28/11/2018;Kacang Hijau;Kg;22600;;;;;;
28/11/2018;Jagung Pipilan Kecil;Kg;16000;;;;;;
28/11/2018;Minyak Goreng Bimoli Botol;Liter;13540;;;;;;
28/11/2018;Kacang Kedelai Eks Impor;Kg;13125;;;;;;
28/11/2018;Beras Premium;Kg;12950;;;;;;
28/11/2018;Gula Pasir;Kg;12800;;;;;;
28/11/2018;Kacang Kedelai Lokal;Kg;12100;;;;;;
28/11/2018;Minyak Goreng Curah;Liter;12010;;;;;;
28/11/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11560;;;;;;
28/11/2018;Tepung Terigu Segitiga Biru;Kg;10740;;;;;;
28/11/2018;Beras Medium;Kg;10690;;;;;;
28/11/2018;Garam Beryodium Halus;Kg;10500;;;;;;
28/11/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10160;;;;;;
28/11/2018;Ketela Pohon;Kg;5200;;;;;;
28/11/2018;Garam Beryodium Bata;250 gr;3780;;;;;;
28/11/2018;Indomie Rasa Kari Ayam;buah;2460;;;;;;
28/11/2018;Telur Ayam Kampung;butir;2250;;;;;;
29/11/2018;Daging Sapi Lokal Has Dalam;Kg;143333;;;;;;
29/11/2018;Daging Sapi Lokal Daging Has Luar (Sirloin);Kg;126667;;;;;;
29/11/2018;Ikan Teri Asin;Kg;125660;;;;;;
29/11/2018;Daging Sapi Lokal Paha Belakang;Kg;119000;;;;;;
29/11/2018;Daging Sapi Lokal Daging Sandung Lamur (Brisket);Kg;100000;;;;;;
29/11/2018;Daging Sapi Impor Beku;Kg;90000;;;;;;
29/11/2018;Ayam Kampung;ekor;82075;;;;;;
29/11/2018;Daging Sapi Lokal Daging Tetelan;Kg;71667;;;;;;
29/11/2018;Susu Bubuk Kaleng Merk Bendera;buah;44500;;;;;;
29/11/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42800;;;;;;
29/11/2018;Ikan Kembung;Kg;40660;;;;;;
29/11/2018;Ayam Boiler;ekor;38260;;;;;;
29/11/2018;Cabai Merah Besar;Kg;37160;;;;;;
29/11/2018;Cabai Merah Kriting;Kg;34760;;;;;;
29/11/2018;Cabai Rawit Merah;Kg;34360;;;;;;
29/11/2018;Cabai Rawit Hijau;Kg;34300;;;;;;
29/11/2018;Bawang Merah (Medium);Kg;30060;;;;;;
29/11/2018;Bawang Putih Impor (Kating);Kg;28600;;;;;;
29/11/2018;Bawang Putih Impor (Honan);Kg;26500;;;;;;
29/11/2018;Kacang Tanah;Kg;25500;;;;;;
29/11/2018;Telur Ayam Ras;Kg;23340;;;;;;
29/11/2018;Kacang Hijau;Kg;23000;;;;;;
29/11/2018;Jagung Pipilan Kecil;Kg;16000;;;;;;
29/11/2018;Minyak Goreng Bimoli Botol;Liter;13640;;;;;;
29/11/2018;Beras Premium;Kg;12825;;;;;;
29/11/2018;Gula Pasir;Kg;12550;;;;;;
29/11/2018;Kacang Kedelai Eks Impor;Kg;12125;;;;;;
29/11/2018;Kacang Kedelai Lokal;Kg;12100;;;;;;
29/11/2018;Minyak Goreng Curah;Liter;12060;;;;;;
29/11/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11560;;;;;;
29/11/2018;Beras Medium;Kg;10640;;;;;;
29/11/2018;Tepung Terigu Segitiga Biru;Kg;10540;;;;;;
29/11/2018;Garam Beryodium Halus;Kg;10500;;;;;;
29/11/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10260;;;;;;
